vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
587,Virtuous Characteristics Control,Virtuous Characteristics Control,2018-02-15T16:46:33.047102Z,2025-03-05T16:34:57.872102Z,public_overview_only,318,Angeline,Lillard,University of Virginia
600,Efficacy,Investigating how children's experience with activities influences their self-efficacy,2018-03-05T19:46:14.007310Z,2025-03-05T16:34:58.083039Z,public_overview_only,318,Angeline,Lillard,University of Virginia
703,Thinking Instructions,Do children enjoy entertaining themselves with their thoughts?,2018-05-29T07:45:56.956875Z,2025-03-05T16:35:01.246231Z,public_overview_only,318,Angeline,Lillard,University of Virginia
706,Dornröschen 3,Study examining infants' interactions with 2D and 3D natural and non-natural objects in a social context.,2018-06-06T15:41:37.920580Z,2025-03-05T16:35:01.361940Z,public_overview_only,318,Angeline,Lillard,University of Virginia
712,Montessori Teaching,Films from the Montessori Teaching study: Conventional demonstration and Montessori demonstration.,2018-06-13T19:28:20.973688Z,2025-03-05T16:35:01.681866Z,public_overview_only,318,Angeline,Lillard,University of Virginia
718,Fiction Preferences: Anthropomorphism and Fantasy,Do children prefer storybooks with anthropomorphized characters over storybooks with animal characters? And do children prefer fantastical storybooks to realistic storybooks?,2018-06-20T09:51:38.840229Z,2025-03-05T16:35:01.998754Z,public_overview_only,318,Angeline,Lillard,University of Virginia
729,Spatial Apps,A comparison of mother-child interactions while using physical and digital versions of spatial toys (blocks and puzzles).,2018-07-06T16:53:00.672997Z,2025-03-05T16:35:02.541316Z,public,318,Angeline,Lillard,University of Virginia
730,Romanian Bobo,Romanian Bobo,2018-07-11T13:16:32.283077Z,2025-03-05T16:35:02.556815Z,public_overview_only,318,Angeline,Lillard,University of Virginia
823,Spatial Toys 2,Spatial Toys 2,2018-12-11T18:30:03.486193Z,2025-03-05T16:35:04.547899Z,public,318,Angeline,Lillard,University of Virginia
892,Fantasy Orientation,Fantasy Orientation; Dermina's Spring 2019 course,2019-04-25T14:45:29.416569Z,2025-03-05T16:35:08.142678Z,public_overview_only,318,Angeline,Lillard,University of Virginia
904,Efficacy Judgments,"How do children believe pretending impacts efficacy and competence?
How do children believe efficacious individuals became so?
Would children rather learn by pretending or really doing, and why?",2019-05-14T11:46:28.446346Z,2025-03-05T16:35:08.709576Z,public_overview_only,318,Angeline,Lillard,University of Virginia
905,Efficacy Judgments Stimuli Check,Can children easily distinguish between the toys for pretending and real objects that will be used in the learning choice task for Efficacy Judgments?,2019-05-14T11:57:39.443857Z,2025-03-05T16:35:08.723229Z,public_overview_only,318,Angeline,Lillard,University of Virginia
922,Spatial School,"School intervention study in which kindergarten and first graders were exposed to either physical spatial play, digital spatial play, or non-spatial play for 6 play sessions. Spatial skills were measured before and after the intervention to assess change.",2019-06-06T17:34:32.646562Z,2025-03-05T16:35:09.085309Z,public,318,Angeline,Lillard,University of Virginia
983,Learning Choice Check,"Would children rather learn by pretending or really doing, and why?",2019-09-16T22:15:36.373685Z,2025-03-05T16:35:11.046426Z,public_overview_only,318,Angeline,Lillard,University of Virginia
998,Fiction Preferences 2019,What types of books do children prefer? (Research Methods: Child Development class),2019-10-01T21:33:28.804556Z,2025-03-05T16:35:12.093896Z,public_overview_only,318,Angeline,Lillard,University of Virginia
1375,Combining Concentration Ideas,Videos of out of classroom measures for Combining Concentration Ideas,2021-10-22T14:38:39.519001Z,2025-03-05T16:35:26.998048Z,public_overview_only,318,Angeline,Lillard,University of Virginia
1450,Concentration and HRV,Videos for Concentration and HRV,2022-04-18T14:33:20.085698Z,2025-03-05T16:35:30.339683Z,public_overview_only,318,Angeline,Lillard,University of Virginia
