vol_id,vol_name,vol_description,vol_short_name,vol_created_at,vol_updated_at,vol_sharing_level,user_id,user_prename,user_sortname,user_affiliation
553,Do embodiment and fictionality affect young children’s learning?,Replication of previous studies (Mares et al 2014) with extensions to embodied pretend play.,Dora-Caplan,2017-11-29T14:49:38.029947Z,2025-03-05T16:34:56.604796Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
726,Do embodiment and fictionality affect young children’s learning?,Preschool children aged 3-5 are randomly assigned to 1) read stories 2) play with puppets 3) play in costume. During the play/stories they are given information regarding reality status. They are then tested for fiction/reality reasoning and memory for facts presented within the stories.,Corriveau Stories,2018-07-03T20:18:11.785261Z,2025-03-05T16:35:02.404405Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
837,Santa Claus Disbelief,This is an interview study of children who recently stopped believing in Santa Claus,Santa Claus- Pallavi Disbelief Study,2019-01-25T21:36:50.007604Z,2025-03-05T16:35:05.101579Z,public,531,Thalia R.,Goldstein,George Mason University
940,Emotion Portrayal Creation,"Kaylee Thesis
1) Adult Mimes Creating emotions
2) Children mimicking/ creating emotions",Kaylee thesis,2019-07-09T17:49:28.813548Z,2025-03-05T16:35:09.595835Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1071,Science Communication - The Alda Method - Video Task,Videos from the Alda Project Video Task,Video Alda Project,2020-02-26T15:49:15.718977Z,2025-03-26T18:25:29.907492Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1121,Observing Pretend Behaviors,Brittany's observations of naturalistic pretend play behaviors in preschool children,Brittany Dissertation,2020-04-15T19:18:06.272131Z,2025-03-05T16:35:17.191384Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1186,Detroit Creativity Project,"Videos, scales, and other materials from the Detroit Creativity Project",DCP,2020-09-25T15:09:44.937604Z,2025-03-05T16:35:19.930623Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1188,"Dance, Emotion, and Cognition","Audio files and interview transcripts of interviews with professional dancers, dance teachers, and choreographers on different facets of emotion use in dance.",Dance Qualitative,2020-10-05T18:56:09.436274Z,2025-03-05T16:35:19.987231Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1246,Mime Videos,Videos of Mimes creating a variety of emotional states,MimeVideos,2020-11-18T14:59:07.536876Z,2025-03-05T16:35:21.620247Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1395,Video Game Creativity in Open World and Narrative Games,Gameplay and audio recordings in mp4 format of 7-9 year olds playing Minecraft or Dragon Quest Builders and answering questions about their experience with the games.,Darian's Thesis,2021-12-05T16:50:07.932506Z,2025-03-05T16:35:27.809752Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1500,Dance and Affective Theory of Mind,Megan's Dissertation project,Megan Dissertation,2022-07-23T13:19:29.208108Z,2025-03-05T16:35:33.368944Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1520,Dance Expertise and Emotion Attribution,Emotion attribution ability for face and full body expressed emotion of expert dancers with at least 10 years of dance training and a control group with less than 1 year of consistent dance training.,Dance Correlational,2022-09-23T20:34:30.370850Z,2025-03-05T16:35:34.432956Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1600,NEA Marching Band Longitudinal,TBD,DaSean Dissertation Marching,2023-05-15T18:33:36.914223Z,2025-03-05T16:35:37.815511Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1603,Lying About Santa Claus,"2 studies, 1 snowball, 1 Prolific, surveys about parental lying around santa",Santa- Parental Lying Surveys,2023-05-24T17:33:38.451938Z,2025-03-05T16:35:38.018793Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1629,Development of Moral Resistance - Sofie Thesis,audio and date for MA thesis,Sofie MA Thesis,2023-07-24T14:39:05.439376Z,2025-04-09T13:57:58.097854Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
1806,Pinecrest Theatre Experiences,Materials related to the 2024-2025 Pinecrest school theatre study,Pinecrest,2024-10-22T16:26:28.409807Z,2025-03-05T16:35:49.053144Z,public_overview_only,531,Thalia R.,Goldstein,George Mason University
